Scheme,Label
vocabs:nz-crs,"NZ Coordinate Reference Systems"
vocabs:nz-compound-crs,"NZ Compound Coordinate Reference Systems"
vocabs:nz-territorial-authority,"NZ Territorial Authorities"
vocabs:nz-land-district,"NZ Land Districts"
vocabs:nz-vhd,"NZ Vertical Height Datums"
vocabs:nz-survey-purpose,"NZ Survey Purpose"
vocabs:nz-survey-type,"NZ Survey Type"
vocabs:nz-secondary-parcel-purpose,"NZ Secondary Parcel Purpose"
vocabs:nz-parcel-purpose,"NZ Parcel Purpose"
vocabs:nz-secondary-parcel-type,"NZ Secondary Parcel Type"
vocabs:nz-parcel-type,"NZ Parcel Type"
vocabs:nz-procedure-used,"NZ Survey Procedures"
vocabs:nz-monument-condition,"NZ Monument Condition"
vocabs:nz-monument-form,"NZ Monument Form"
vocabs:nz-surveypoint-purpose,"NZ Survey Point Purpose"
vocabs:nz-monument-state,"NZ Monument State"
vocabs:nz-parcel-state,"NZ Parcel States"
