Classes,Property,Range,Schemes
container:CSD,container:horizontalCRS,termtype:AllowableCoordinateReferenceSystem,vocabs:wa-crs http://www.opengis.net/def/crs/EPSG/0
container:CSD,container:verticalDatum,termtype:AllowableCoordinateReferenceSystem,vocabs:wa-vhd
container:CSD,surv:purpose,surv:SurveyPurpose,vocabs:wa-survey-purpose
container:CSD,container:surveyType,termtype:SurveyType,vocabs:wa-survey-type
,container:adminUnit,termtype:AdminUnit,vocabs:wa-locality vocabs:wa-local-government
,prof:hasRole,
surv:Parcel,parcel:purpose,termtype:ParcelPurpose,vocabs:wa-secondary-parcel-purpose vocabs:wa-parcel-purpose
surv:SecondaryParcel,surv:parcelType,surv:ParcelType,vocabs:wa-secondary-parcel-type
surv:PrimaryParcel,surv:parcelType,surv:ParcelType,vocabs:wa-parcel-type
sosa:ObservationCollection,sosa:usedProcedure,sosa:Procedure,vocabs:wa-procedure-used
,surv:condition,surv:ConditionCode,vocabs:wa-monument-condition
,surv:form,surv:MonumentForm,vocabs:wa-monument-form
surv:CadastralMark surv:BoundaryMark surv:GeodeticMark surv:SurveyPoint,surv:purpose,surv:SurveyPointPurpose,vocabs:wa-surveypoint-purpose
,surv:vectorPurpose,surv:VectorPurpose,vocabs:wa-vector-purpose
,surv:state,surv:SurveyPointState,vocabs:wa-monument-state
parcel:Parcel,parcel:state,termtype:ParcelState,vocabs:wa-parcel-state
