Scheme,Label
vocabs:wa-crs,"WA Coordinate Reference Systems"
vocabs:wa-locality,"WA Localities"
vocabs:wa-local-government-area,"WA Local Government Areas"
vocabs:wa-vhd,"WA Vertical Height Datums"
vocabs:wa-survey-purpose,"WA Survey Purpose"
vocabs:wa-survey-type,"WA Survey Type"
vocabs:wa-secondary-parcel-purpose,"WA Secondary Parcel Purpose"
vocabs:wa-parcel-purpose,"WA Parcel Purpose"
vocabs:wa-secondary-parcel-type,"WA Secondary Parcel Type"
vocabs:wa-parcel-type,"WA Parcel Type"
vocabs:wa-procedure-used,"WA Survey Procedures"
vocabs:wa-monument-condition,"WA Monument Condition"
vocabs:wa-monument-form,"WA Monument Form"
vocabs:wa-surveypoint-purpose,"WA Survey Point Purpose"
vocabs:wa-monument-state,"WA Monument State"
vocabs:wa-parcel-state,"WA Parcel States"
